Superficie,Rooms,Bedrooms,Price,Location,description,Loc_Paris,m2,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,Heating_Central,Heating_Individual,Price_int,Last_floor
33m²,1 p.,0 p.,328 600 ,Paris 19 (75019)|Secrétan - Jaurès...,"Ref de l'annonce
:Grand Studio
Parking
Etage du bien
:1er
Nombre d'étages du bâtiment
:14
Ascenseur
Nombre de salle de bain
:1",19,3.4965075614664802,14,1,1,0,0,Unknown,0,1,0,0,12.702596484585305,0
122m²,5 p.,4 p.,1 940 000 ,"Paris 04 (75004)
Paris 4ème","Ref de l'annonce
:158
Parking
Terrasse/Balcon
:Terrasse
Etage du bien
:2e
Nombre d'étages du bâtiment
:4
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",4,4.804021044733257,4,2,1,1,Terrasse,Unknown,0,1,0,0,14.47819853103951,0
68m²,4 p.,3 p.,830 000 ,"Paris 10 (75010)
Paris 10ème","Ref de l'annonce
:2679339
Terrasse/Balcon
:Terrasse
Nombre d'étages du bâtiment
:3
Nombre de salle de bain
:1",10,4.219507705176107,3,1,1,0,Terrasse,Unknown,0,0,0,0,13.62918097977278,0
36m²,2 p.,1 p.,524 000 ,"Paris 18 (75018)
Abbesses","Ref de l'annonce
:0555
Etage du bien
:2e
Cave
Nombre de salle de bain
:1",18,3.58351893845611,5,2,1,1,0,Unknown,0,0,0,0,13.169246963303179,0
32m²,1 p.,0 p.,375 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:162373805
Chauffage
:Au gaz
Etage du bien
:8e
Nombre d'étages du bâtiment
:9
Cave
Ascenseur",15,3.4657359027997265,9,8,0,1,0,Au gaz,0,0,0,0,12.834681304952548,0
67m²,3 p.,2 p.,745 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:1513
Chauffage
:Individuel, au gaz
Etage du bien
:5e
Nombre d'étages du bâtiment
:6
Cave
Nombre de salle de bain
:1",11,4.204692619390966,6,5,1,1,0,"Individuel, au gaz",0,0,0,1,13.521139497361697,0
18m²,1 p.,0 p.,199 000 ,"Paris 11 (75011)
Paris 11ème","Ref de l'annonce
:1515
Nombre d'étages du bâtiment
:6",11,2.8903717578961645,6,2,0,0,0,Unknown,0,0,0,0,12.201060103706629,0
29m²,1 p.,0 p.,346 500 ,"Paris 20 (75020)
Alexandre Dumas","Ref de l'annonce
:0147
Parking
Etage du bien
:4e
Nombre d'étages du bâtiment
:5
Ascenseur
Accès handicapé",20,3.367295829986474,5,4,0,0,0,Unknown,0,1,0,0,12.755638097612096,0
63m²,3 p.,2 p.,787 500 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:75401
Etage du bien
:2e
Nombre d'étages du bâtiment
:6
Cave
Ascenseur
Nombre de salle de bain
:1",15,4.143134726391533,6,2,1,1,0,Unknown,0,0,0,0,13.576618649681926,0
28m²,1 p.,0 p.,355 000 ,"Paris 15 (75015)
Paris 15ème","Ref de l'annonce
:75177
Rénové
Chauffage
:électrique
Etage du bien
:1er
Nombre d'étages du bâtiment
:6",15,3.332204510175204,6,1,0,0,0,électrique,1,0,0,0,12.779873068457553,0
129m²,6 p.,3 p.,1 650 000 ,"Paris 17 (75017)
Paris 17ème","Ref de l'annonce
:207
Chauffage
:Individuel
Etage du bien
:1er
Nombre d'étages du bâtiment
:3
Cave
Nombre de salle de bain
:1",17,4.859812404361672,3,1,1,1,0,Individuel,0,0,0,1,14.316285845876763,0
53m²,2 p.,1 p.,598 000 ,"Paris 16 (75016)
Paris","Ref de l'annonce
:vlx16_paris
Rénové
Chauffage
:Central
Etage du bien
:6e
Nombre d'étages du bâtiment
:7
Cave
Ascenseur
Accès handicapé
Nombre de salle de bain
:1",16,3.970291913552122,7,6,1,1,0,Central,1,0,1,0,13.301346032932768,0
